ptp4l[488527.545]: port 1 (eth0): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[488527.546]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[488527.547]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[488529.650]: master offset     106072 s0 freq  +96180 path delay    170917
ptp4l[488530.648]: master offset     -37312 s0 freq  -98985 path delay    215358
ptp4l[488531.649]: master offset     -55622 s0 freq  -44965 path delay    188666
ptp4l[488532.650]: master offset     -99504 s0 freq  -43808 path delay    188666
ptp4l[488533.650]: master offset     -35007 s0 freq  +55630 path delay    179791
ptp4l[488534.654]: master offset     -64005 s0 freq  -34281 path delay    174411
ptp4l[488535.653]: master offset     -15933 s0 freq  +48098 path delay    174411
ptp4l[488536.657]: master offset     953251 s0 freq +965745 path delay    173432
ptp4l[488537.657]: master offset     -92374 s0 freq -1042744 path delay    175668
ptp4l[488538.658]: master offset    -109496 s0 freq   -9475 path delay    183285
ptp4l[488539.663]: master offset     -25364 s0 freq  +83795 path delay    183285
ptp4l[488540.678]: master offset     -59745 s0 freq  -33903 path delay    183285
ptp4l[488541.664]: master offset     -55202 s0 freq   -3115 path delay    175668
ptp4l[488542.669]: master offset     -63517 s0 freq  -15855 path delay    168051
ptp4l[488543.669]: master offset      47376 s0 freq  +88067 path delay    145202
ptp4l[488545.021]: master offset       7127 s0 freq  -30013 path delay    145202
ptp4l[488545.674]: master offset       7339 s0 freq  -20601 path delay    131296
ptp4l[488546.671]: master offset      23130 s0 freq  +12062 path delay    127523
ptp4l[488547.670]: master offset     -43671 s0 freq  -66763 path delay    127523
ptp4l[488548.710]: master offset     885123 s0 freq +905267 path delay    127523
ptp4l[488549.691]: master offset      28650 s0 freq -858985 path delay    133742
ptp4l[488550.703]: master offset      45141 s0 freq  +21583 path delay    139053
ptp4l[488551.707]: master offset      39760 s0 freq   +3100 path delay    147508
ptp4l[488552.689]: master offset     -78191 s0 freq -118201 path delay    147508
ptp4l[488553.687]: master offset      -6497 s0 freq  +82696 path delay    158548
ptp4l[488554.698]: master offset     -34030 s0 freq   +2497 path delay    188596
ptp4l[488555.698]: master offset     -17819 s0 freq  +16209 path delay    188596
ptp4l[488556.699]: master offset     -71134 s0 freq  -50141 path delay    191600
ptp4l[488557.703]: master offset     -83012 s0 freq   -6679 path delay    196771
ptp4l[488558.702]: master offset     -90279 s0 freq   -7278 path delay    196771
ptp4l[488559.703]: master offset      37873 s0 freq +123034 path delay    191600
ptp4l[488560.704]: master offset       6148 s0 freq  -26441 path delay    196771
ptp4l[488561.702]: master offset     -52756 s0 freq  -43533 path delay    212353
ptp4l[488562.710]: master offset     396549 s0 freq +464063 path delay    230381
ptp4l[488563.817]: master offset      25086 s0 freq -371874 path delay    230381
ptp4l[488564.711]: master offset     -45909 s0 freq  -70795 path delay    230381
ptp4l[488565.706]: master offset     279995 s0 freq +326230 path delay    230381
ptp4l[488566.715]: master offset      42905 s0 freq -226235 path delay    239954
ptp4l[488567.710]: master offset    -167561 s0 freq -211049 path delay    239954
ptp4l[488568.716]: master offset     322131 s0 freq +488006 path delay    239954
ptp4l[488569.715]: master offset    -115923 s0 freq -431510 path delay    246732
ptp4l[488570.716]: master offset    -134511 s0 freq  -21759 path delay    243518
ptp4l[488571.718]: master offset    -153239 s0 freq  -18690 path delay    243518
ptp4l[488572.719]: master offset     -86714 s0 freq  +53325 path delay    230381
ptp4l[488573.719]: master offset    -116903 s0 freq  -30175 path delay    230381
ptp4l[488574.720]: master offset     -29907 s0 freq  +75096 path delay    218572
ptp4l[488575.719]: master offset      29068 s0 freq  +39437 path delay    199007
ptp4l[488576.726]: master offset     -51289 s0 freq  -45529 path delay    233526
ptp4l[488577.721]: master offset     -87065 s0 freq  -35939 path delay    233526
ptp4l[488578.724]: master offset     -71272 s0 freq  -39319 path delay    178324
ptp4l[488579.728]: master offset     -50591 s0 freq  +20614 path delay    178324
ptp4l[488580.729]: master offset     -29768 s0 freq   -3355 path delay    154147
ptp4l[488581.727]: master offset     -57228 s0 freq  -33535 path delay    148067
ptp4l[488582.727]: master offset     -62539 s0 freq   -6149 path delay    147229
ptp4l[488583.731]: master offset     -19843 s0 freq  +34232 path delay    138913
ptp4l[488584.731]: master offset     -37035 s0 freq  -25735 path delay    130388
ptp4l[488585.740]: master offset     -40317 s0 freq  -11729 path delay    121933
ptp4l[488587.704]: master offset     471177 s0 freq +259263 path delay    121933
ptp4l[488587.744]: master offset       -907 s0 freq -12111618 path delay    121933
ptp4l[488588.744]: master offset     -16839 s0 freq  -15931 path delay    121933
ptp4l[488589.750]: master offset      10833 s0 freq  +27554 path delay    121933
ptp4l[488590.748]: master offset      45142 s0 freq  +42862 path delay    130388
ptp4l[488591.840]: master offset      -5171 s0 freq  -46079 path delay    130388
ptp4l[488592.747]: master offset      35009 s0 freq  +40218 path delay    126824
ptp4l[488593.748]: master offset      96359 s0 freq  +68211 path delay    133673
ptp4l[488594.750]: master offset     -15582 s0 freq  -98202 path delay    147229
ptp4l[488595.758]: master offset     -60374 s0 freq  -53143 path delay    138355
ptp4l[488596.762]: master offset      27393 s0 freq  +74771 path delay    125497
ptp4l[488597.753]: master offset      -2794 s0 freq  -30432 path delay    125497
ptp4l[488598.757]: master offset      34101 s0 freq  +36796 path delay    125497
ptp4l[488599.753]: master offset     -15862 s0 freq  -46205 path delay    129340
ptp4l[488600.758]: master offset     -23197 s0 freq  -11127 path delay    125497
ptp4l[488601.767]: master offset     204038 s0 freq +225742 path delay    125497
ptp4l[488602.759]: master offset     143386 s0 freq  -61081 path delay    125497
ptp4l[488603.761]: master offset      94752 s0 freq  -41545 path delay    132485
ptp4l[488604.763]: master offset     420656 s0 freq +324880 path delay    132485
ptp4l[488605.826]: master offset     192370 s0 freq -210814 path delay    137447
ptp4l[488606.789]: master offset     146739 s0 freq  -40955 path delay    143666
ptp4l[488607.781]: master offset     -77839 s0 freq -180000 path delay    189084
ptp4l[488608.785]: master offset     259101 s0 freq +336702 path delay    190342
ptp4l[488609.791]: master offset      98108 s0 freq -160528 path delay    190342
ptp4l[488610.830]: master offset      14606 s0 freq  -34932 path delay    237787
ptp4l[488612.639]: master offset    -111242 s0 freq -125917 path delay    240653
ptp4l[488613.251]: master offset     360842 s0 freq +467281 path delay    240653
ptp4l[488613.805]: master offset    -122631 s0 freq -452919 path delay    272167
ptp4l[488614.812]: master offset     -50241 s0 freq  +71910 path delay    272167
ptp4l[488615.806]: master offset     -97686 s0 freq  -52837 path delay    267067
ptp4l[488616.828]: master offset      85039 s0 freq +121139 path delay    208161
ptp4l[488618.045]: master offset     159667 s0 freq  +61298 path delay    208161
ptp4l[488618.817]: master offset    -116134 s0 freq -304848 path delay    248899
ptp4l[488619.816]: master offset     -72042 s0 freq   +3354 path delay    208161
ptp4l[488620.815]: master offset     -49403 s0 freq   -9234 path delay    176298
ptp4l[488621.821]: master offset      -7759 s0 freq  +41397 path delay    176298
ptp4l[488622.823]: master offset      31374 s0 freq  +39038 path delay    176298
ptp4l[488623.825]: master offset     -39758 s0 freq  -77531 path delay    169728
ptp4l[488624.829]: master offset     -96639 s0 freq  -50162 path delay    176298
ptp4l[488625.831]: master offset     352247 s0 freq +447910 path delay    176298
ptp4l[488626.833]: master offset      44093 s0 freq -295476 path delay    188455
ptp4l[488627.858]: master offset     -93703 s0 freq -134598 path delay    188455
ptp4l[488628.854]: master offset     -64845 s0 freq  +25526 path delay    185032
ptp4l[488629.855]: master offset     -70436 s0 freq   -5580 path delay    185032
ptp4l[488630.857]: master offset    -106492 s0 freq  -35952 path delay    185032
ptp4l[488631.863]: master offset     -73790 s0 freq  +32544 path delay    185032
ptp4l[488632.890]: master offset     -58206 s0 freq  +18502 path delay    188455
ptp4l[488633.866]: master offset     -90069 s0 freq  -32638 path delay    188455
ptp4l[488634.869]: master offset     -75398 s0 freq  +14760 path delay    188596
ptp4l[488635.873]: master offset     -49122 s0 freq  +26193 path delay    188596
ptp4l[488636.873]: master offset      10971 s0 freq  +21790 path delay    150303
ptp4l[488638.381]: master offset      64078 s0 freq  +35220 path delay    150303
ptp4l[488638.886]: master offset     -34450 s0 freq -197088 path delay    149325
ptp4l[488639.886]: master offset      32005 s0 freq  +62590 path delay    145481
ptp4l[488640.889]: master offset      -7965 s0 freq  -44049 path delay    141288
ptp4l[488642.137]: master offset     -50170 s0 freq  -33796 path delay    141288
ptp4l[488642.888]: master offset     -49610 s0 freq   -6328 path delay    135978
ptp4l[488643.891]: master offset     -71412 s0 freq  -16446 path delay    141288
ptp4l[488644.898]: master offset      68061 s0 freq +142881 path delay    145481
ptp4l[488647.163]: master offset     -30046 s0 freq  -91371 path delay    145481
ptp4l[488647.177]: master offset     100972 s0 freq +109351 path delay    146390
ptp4l[488648.662]: master offset     -91818 s0 freq -124702 path delay    153867
ptp4l[488648.899]: master offset     -40736 s0 freq +200273 path delay    150023
